X,Y,AOSNUMBER,City,County,State,Address,Latitude,Longitude,Agency,Type of LE,Summary,Technology,Vendor,Link 1,Link 1 Sna,Link 1 Sou,Link 1 Typ,Link 1 Dat,Link 2,Link 2 Sna,Link 2 Sou,Link 2 Typ,Link 2 Dat,Link 3,Link 3 Sna,Link 3 Sou,Link 3 Typ,Link 3 Dat,Other Link,icon_url
-88.8853078,30.3960318,AOS3532,Biloxi,Harrison County,MS,Biloxi MS,30.396031799999999,-88.885307800000007,Biloxi Police Department,Police,The Biloxi Police Department installed 10 cameras from Project NOLA in 2019 as part of a real-time crime center project.,Real-Time Crime Center,Project NOLA,https://www.wlox.com/2019/04/23/biloxi-police-looks-new-orleans-nonprofit-help-with-crime-prevention-cameras/,,WLOX,,04/23/2019,,,,,,,,,,,,./0.png
-75.1526774,39.8381691,AOS3533,Woodbury,Gloucester County,NJ,Woodbury NJ,39.838169100000002,-75.152677400000002,Woodbury Police Department,Police,The Woodbury Police Department partnered with Project NOLA to install over 50 pan-tilt-zoom cameras throughout the city. The Project NOLA Cameras cost $375 apiece and have 24/7 cloud recording at its headquarters in New Orleans. The cameras are located a,Real-Time Crime Center,Project NOLA,https://www.nj.com/gloucester-county/2019/04/police-install-50-cameras-to-keep-a-watch-over-city-your-street-could-be-next.html,,NJ True Jersey,,04/09/2019,,,,,,,,,,,,./0.png
-89.2903392,31.3271189,AOS3534,Hattiesburg,"Lamar County, Forrest County",MS,Hattiesburg MS,31.327118899999999,-89.290339200000005,Hattiesburg Police Department,Police,"In 2020, the Hattiesburg Police Department began building a real-time crime center project through Project NOLA's crime camera program. The ""cameras transmit video to the Project NOLA Real-Time Crime Information Center at UNO, where video may be live-mon",Real-Time Crime Center,Project NOLA,https://www.hubcityspokes.com/news-hattiesburg/police-chief-proposes-bringing-project-nola-hattiesburg,,The Pine Belt News,,11/14/2019,https://www.hubcityspokes.com/front-page-slideshow-news-hattiesburg/city-approves-agreement-project-nola-camera-system,,The Pine Belt News,,1/23/2020,,,,,,,./0.png
-80.347009,41.0036719,AOS3535,New Castle,Lawerence County,PA,New Castle PA,41.003671900000001,-80.347009000000000,New Castle Police Department,Police,"The New Castle Police Department was approved in 2020 to purchase 32 cameras through Project NOLA National Crime Camera Program. The cameras cost $4,800 along with a $5,760 annual fee for monitoring the cameras. The agency planned to spend $1,950 on buil",Real-Time Crime Center,Project NOLA,https://www.ncnewsonline.com/news/local_news/council-approved-crime-camera-system/article_29a2d77b-e133-5d1e-8445-06bf0527a50f.html,,NC News,,09/13/2019,,,,,,,,,,,,./0.png
-90.1422962,29.9060388,AOS3536,Westwego,Jefferson Parish,LA,Westwego LA,29.906038800000001,-90.142296200000004,Westwego Police Department,Police,The Westwego Police Department partnered with Project NOLA's real-time crime center program in 2014. The department has direct access to the cameras installed throughout the city.,Real-Time Crime Center,Project NOLA,https://www.fox8live.com/story/26497489/project-nola-expands-to-westwego/,,FOX8,,09/10/2014,,,,,,,,,,,,./0.png
-89.9635162,29.942783,AOS3537,Chalmette,St. Bernard Parish,LA,Chalmette LA,29.942782999999999,-89.963516200000001,St. Bernard Parish Sheriff's Office,Sheriff,"The St. Bernard Parish Sheriff's Office partnered with Project NOLA in 2014 for a real-time crime center project.According to a report from WDSU, the sheriff's office has more that 1,100 cameras. The feeds are sent back to Project NOLA the command, but d",Real-Time Crime Center,Project NOLA,https://www.youtube.com/watch?v=lZrAb5TIPVs,,WDSU News,,09/23/2014,,,,,,,,,,,,./0.png
-89.5553465,31.645443,AOS3538,Collins,Covington County,MS,Collins MS,31.645443000000000,-89.555346499999999,Collins Police Department,Police,The Collins Police Department installed surveillance cameras part of a Project NOLA real-time crime center project in 2020. The cameras are monitored 24 hours a day and are equipped with gunshot detection technology.,Real-Time Crime Center,Project NOLA,https://www.wdam.com/2020/02/08/collins-aldermen-approve-installation-project-nola-cameras/,,WDAM,,02/07/2020,,,,,,,,,,,,./0.png
-90.0489801,35.1495343,AOS4875,Memphis,Shelby County,TN,Memphis TN,35.149534299999999,-90.048980099999994,Memphis Police Department,Police,"The Memphis Police Department developed its real-time crime center in the late 2000s at an initital cost of $3.5 million. The Memphis RTCC taps into various surveilalnce technologies including a city-wide network of 2,100 cameras in 650 locations. The RT",Real-Time Crime Center,,http://www.skycopinc.com/assets/sitemedia/PDFs/Installation-Profile-Memphis-Police-RTCC.pdf,,Planar,,,https://www.memphisflyer.com/TheDailyBuzz/archives/2008/04/16/memphis-police-department-unveils-real-time-crime-center,,Memphis Flyer,,4/16/2008,https://thecrimereport.org/2019/05/29/real-time-crime-centers-the-future-of-crime-fighting/,,The Crime Report,,5/29/2019,,./0.png
-117.688944,34.0122346,AOS4876,Chino,San Bernardino County,CA,Chino CA,34.012234599999999,-117.688944000000006,Chino Police Department,Police,"The Chino Police Department opened its real-time crime center in 2019 for around $370,000. The RTCC staff have access to a public camera network, some private and business cameras, and automated license plate readers, which they monitor live on a wall of",Real-Time Crime Center,,http://www.championnewspapers.com/special_section/article_8695b528-66dc-11e9-8c7a-d3f854b3b6bc.html,,Champion Newspapers,,4/27/2019,https://www.cityofchino.org/UserFiles/Servers/Server_10382578/File/City%20Hall/City%20Finances/FY%202019-2020%20Budget/Police%20Department%20Section.pdf,,City of Chico,,"2019",,,,,,,./0.png
-82.4571776,27.950575,AOS4877,Tampa,Hillsborough County,FL,Tampa FL,27.950575000000001,-82.457177599999994,Tampa Police Department,Police,"The Tampa Police Department opened its real-time crime center in 2018. According to the Tampa Police Department’s 2018 Annual Budget, the RTCC utilizes investigative a variety of software tools and camera surveillance systems.",Real-Time Crime Center,,https://www.abcactionnews.com/news/region-hillsborough/tpd-real-time-crime-center-helps-investigate-crimes-as-officers-are-dispatched,,ABC,,3/29/2019,,,,,,,,,,,,./0.png
